#
# Version: 2011-03-12 00:00:00.0
#
# Table label_fr = Codes INS via Code postal
#
# POSTAL_CODE_fr  =  Code postal
# SEQNBR_fr  =  Numéro de séquence
# NIS_CODE_fr  =  Code INS
# EXPIRATION_DATE_fr  =  Date de suppression
# LATEST_TREATMENT_DATE_fr  =  Date du dernier traitement
#
# Table label_nl = NIS-codes via postcode
#
# POSTAL_CODE_nl  =  Postcode
# SEQNBR_nl  =  Sequentienummer
# NIS_CODE_nl  =  NIS-code
# EXPIRATION_DATE_nl  =  Verwijderingsdatum
# LATEST_TREATMENT_DATE_nl  =  Datum laatste verwerking
#
# Table label_de = LAS-Codes über Postleitzahl
#
# POSTAL_CODE_de  =  Postleitzahl
# SEQNBR_de  =  Sequenznummer
# NIS_CODE_de  =  LAS-Code
# EXPIRATION_DATE_de  =  Löschungsdatum
# LATEST_TREATMENT_DATE_de  =  Datum der letzten Verarbeitung
#
POSTAL_CODE;SEQNBR;NIS_CODE;EXPIRATION_DATE;LATEST_TREATMENT_DATE
3201;0;24001;;
3201;1;24060;;1990-10-26
3202;0;24001;;
3202;1;24092;;1990-10-26
3210;0;24063;;1990-10-26
3210;1;24066;;
3211;0;24012;;1990-10-26
3211;1;24066;;
3212;0;24066;;
3212;1;24090;;1990-10-26
3220;0;24043;;
3220;1;24056;;1990-10-26
3220;2;24103;;1990-10-26
3221;0;24043;;
3221;1;24080;;
3270;0;24046;;1984-03-24
3270;1;24098;;
3270;2;24134;;
3270;3;24501;;1985-08-01
3271;0;24005;;1990-10-26
3271;1;24129;;1990-10-26
3271;2;24134;;
3272;0;24071;;1990-10-26
3272;1;24105;;1990-10-26
3272;2;24134;;
3290;0;24019;;1984-03-24
3290;1;24020;;
3290;2;24097;;1990-10-26
3290;3;24120;;1985-03-13
3293;0;24020;;
3293;1;24046;;1984-03-24
3294;0;24020;;
3294;1;24073;;
3300;0;24015;;1985-03-13
3300;1;24031;;1990-10-26
3300;2;24035;;1990-10-26
3300;3;24057;;1990-10-26
3300;4;24081;;1985-03-13
3300;5;24082;;1986-06-23
3300;6;24102;;1990-10-26
3300;7;24107;;
3300;8;24113;;1990-10-26
3320;0;24041;;
3320;1;24069;;1985-03-13
3320;2;24131;;1985-03-01
3321;0;24041;;
3321;1;24087;;
3350;0;24022;;1985-03-13
3350;1;24070;;1986-06-23
3350;2;24074;;1986-06-23
3350;3;24077;;1985-03-13
3350;4;24084;;1986-06-23
3350;5;24088;;1986-06-23
3350;6;24128;;1984-03-24
3350;7;24132;;1986-06-23
3350;8;24133;;
3360;0;24011;;
3360;1;24053;;1990-10-26
3360;2;24065;;1990-10-26
3360;3;24083;;1990-10-26
3360;4;24131;;1991-01-11
3370;0;24011;;1991-06-14
3370;1;24016;;
3370;2;24049;;1985-03-13
3370;3;24078;;1990-10-26
3370;4;24093;;1985-03-13
3370;5;24112;;1985-03-13
3370;6;24125;;1990-10-26
3370;7;24131;;1990-10-26
3380;0;24018;;1990-10-26
3380;1;24030;;
3380;2;24137;;
3381;0;24030;;
3381;1;24047;;
3381;2;24137;;
3384;0;24004;;
3384;1;24030;;
3384;2;24137;;
3390;0;24044;;1990-10-26
3390;1;24101;;1990-10-26
3390;2;24106;;1990-10-26
3390;3;24135;;
3391;0;24067;;1990-10-26
3391;1;24135;;
3400;0;24024;;1990-10-26
3400;1;24027;;1990-10-26
3400;2;24058;;1990-10-26
3400;3;24059;;
3400;4;24079;;1990-10-26
3400;5;24089;;1990-10-26
3400;6;24096;;1985-03-13
3400;7;24119;;1990-10-26
3401;0;24059;;
3401;1;24116;;1985-03-13
3401;2;24117;;1985-03-13
3401;3;24118;;
3401;4;24124;;1985-08-01
3404;0;24003;;
3404;1;24059;;
3404;2;24076;;1985-03-13
3440;0;24017;;1985-01-03
3440;1;24021;;1990-02-12
3440;2;24036;;1990-02-12
3440;3;24037;;1993-04-26
3440;4;24130;;
3450;0;24028;;
3450;1;24032;;1990-10-26
3454;0;24028;;1990-10-05
3454;1;24095;;
3460;0;24002;;1990-10-26
3460;1;24008;;
3461;0;24008;;
3461;1;24072;;1990-10-26
3470;0;24054;;
3470;1;24091;;1990-10-26
3471;0;24042;;1990-10-26
3471;1;24054;;
3472;0;24050;;1990-10-26
3472;1;24054;;
3473;0;24054;;
3473;1;24115;;1990-10-26
3500;0;71022;;
3500;1;71052;;1984-03-24
3501;0;71022;;
3501;1;71062;;
3510;0;71022;;
3510;1;71028;;
3510;2;71037;;1991-06-14
3510;3;71054;;1985-08-13
3511;0;71022;;
3511;1;71028;;1991-03-06
3511;2;71032;;
3511;3;71056;;1985-08-13
3512;0;71022;;
3512;1;71052;;1991-03-01
3512;2;71055;;
3520;0;71065;;1985-01-18
3520;1;71066;;
3530;0;71065;;1986-06-23
3530;1;72014;;1990-10-26
3530;2;72015;;
3530;3;72039;;
3540;0;71003;;1990-10-26
3540;1;71012;;1993-04-26
3540;2;71024;;
3540;3;71051;;1990-10-26
3545;0;71020;;
3545;1;71036;;1990-10-26
3545;2;71063;;1990-10-26
3550;0;71025;;
3550;1;71065;;1990-10-26
3550;2;71070;;
3560;0;71035;;1990-10-26
3560;1;71037;;
3560;2;71038;;1990-10-26
3570;0;73001;;
3580;0;71004;;
3581;0;71004;;
3581;1;71005;;1990-10-26
3582;0;71004;;
3582;1;71029;;1990-10-26
3583;0;71004;;
3583;1;71049;;1990-10-26
3590;0;71011;;
3600;0;71016;;
3620;0;73014;;1990-10-26
3620;1;73042;;
3620;2;73057;;1990-10-26
3620;3;73088;;1990-10-26
3621;0;73042;;
3621;1;73064;;1990-10-26
3630;0;73013;;1990-10-26
3630;1;73045;;1990-10-26
3630;2;73048;;1985-08-13
3630;3;73050;;1990-10-26
3630;4;73060;;1985-08-13
3630;5;73096;;1990-10-26
3630;6;73107;;
3631;0;73008;;
3631;1;73084;;1984-03-24
3631;2;73107;;
3640;0;72017;;1990-10-26
3640;1;72018;;
3640;2;72023;;1990-10-26
3640;3;72026;;1990-10-26
3650;0;72005;;
3650;1;72007;;1985-08-13
3650;2;72032;;1990-10-26
3650;3;72041;;1990-11-05
3650;4;73043;;1985-08-13
3650;5;73081;;1985-08-13
3660;0;71047;;
3665;0;71002;;
3668;0;71043;;1985-08-13
3670;0;71042;;1990-10-26
3670;1;72008;;1990-10-26
3670;2;72011;;1990-10-26
3670;3;72022;;1990-10-26
3670;4;72036;;1990-10-26
3670;5;72040;;
3680;0;72021;;
3680;1;72024;;1990-10-26
3680;2;72028;;1990-10-26
3680;3;72041;;1991-06-14
3690;0;71067;;
3700;0;73003;;1985-08-13
3700;1;73011;;1985-08-13
3700;2;73026;;1985-08-13
3700;3;73039;;1985-08-13
3700;4;73044;;1990-10-26
3700;5;73046;;1990-10-26
3700;6;73058;;1985-08-13
3700;7;73059;;1990-10-26
3700;8;73062;;1990-10-26
3700;9;73063;;1990-10-26
3700;10;73069;;1985-08-13
3700;11;73073;;1990-10-26
3700;12;73076;;1985-03-01
3700;13;73080;;1990-10-26
3700;14;73083;;
3700;15;73094;;1990-10-26
3700;16;73100;;1990-10-26
3700;17;73104;;1985-03-01
3700;18;73105;;1990-10-26
3700;19;73106;;1990-10-26
3711;0;73083;;
3717;0;73028;;
3720;0;73040;;
3721;0;73040;;
3721;1;73091;;
3722;0;73040;;
3722;1;73101;;
3723;0;73020;;
3723;1;73040;;
3724;0;73040;;
3724;1;73090;;
3730;0;73032;;
3730;1;73070;;1985-08-13
3730;2;73077;;1984-03-24
3730;3;73099;;1985-08-13
3732;0;73032;;
3732;1;73074;;
3740;0;73005;;1985-01-18
3740;1;73006;;
3740;2;73012;;1990-10-26
